ID	WC_TA	RE_TA	EBIT_TA	MVE_BVTD	S_TA	Industry	Rating
35390	-0.042	0.077	0.03	1.663	0.295	3	A
43239	0.122	0.226	0.052	1.274	0.29	9	BBB
80388	-0.232	0.005	-0.003	1.059	0.098	8	BB
39205	0.26	0.22	0.067	0.712	0.286	2	BB
78188	0.016	0.164	0.034	1.498	0.43	5	BBB
55131	-0.001	0.024	0.028	0.638	0.152	1	BB
55441	0.181	0.285	0.068	1.45	0.252	2	A
38674	0.073	0.383	0.049	3.563	0.616	9	AAA
43639	-0.148	-0.554	0.006	0.21	0.103	12	B
58184	0.164	0.286	0.061	1.392	0.236	3	A
69707	0.263	0.455	0.061	2.399	0.431	6	AA
39541	0.197	0.233	0.059	0.846	0.165	7	BBB
67566	-0.006	-0.042	0.041	0.267	0.159	8	BB
75972	0.397	0.623	0.087	4.665	0.372	7	AAA
76203	0.497	0.668	0.102	3.915	0.566	8	AAA
81184	0.085	0.307	0.056	1.989	0.478	11	A
74091	0.027	0.163	0.036	0.972	0.202	10	BB
36391	0.056	0.018	0.052	0.309	0.103	12	BB
34957	0.212	0.486	0.057	3.986	0.679	2	AAA
60660	0.268	0.315	0.058	2.057	0.308	6	A
42879	-0.049	0.186	0.016	4.498	0.547	10	AAA
75618	0.087	0.214	0.053	1.085	0.321	9	BB
59432	0.067	0.259	0.042	2.76	0.402	4	AA
45783	0.567	0.883	0.113	4.663	0.374	12	AAA
37487	0.279	0.556	0.067	3.927	0.485	3	AAA
59789	0.265	0.437	0.066	2.704	0.335	5	AA
61794	0.094	0.324	0.052	2.244	0.315	2	A
79030	0.102	0.072	0.051	0.367	0.139	2	BB
32737	0.493	0.684	0.101	3.528	0.505	1	AAA
79366	0.058	-0.001	0.04	0.396	0.153	3	BB
82556	0.112	0.594	0.042	14.456	0.818	11	AAA
50815	0.156	0.26	0.055	1.979	0.431	3	A
67814	-0.094	-0.373	0.022	0.102	0.114	4	CCC
53519	-0.013	-0.065	0.04	0.332	0.091	5	B
39538	0.171	0.278	0.055	1.16	0.272	2	BB
75441	0.024	0.198	0.042	1.51	0.234	8	BBB
59999	0.199	0.28	0.063	1.288	0.273	1	BBB
45487	0.286	0.332	0.073	0.971	0.181	10	BB
48005	0.232	0.345	0.066	0.916	0.276	4	BB
70869	0.371	0.38	0.078	1.041	0.239	8	A
40801	0.52	0.615	0.105	4.593	0.537	9	AAA
41237	0.001	0.116	0.032	1.311	0.332	5	BBB
55327	0.001	0.147	0.036	1.882	0.526	1	BBB
68258	0.019	0.119	0.04	1.311	0.293	9	BBB
46854	-0.213	-0.629	-0.033	0.563	0.294	3	CCC
71134	0.267	0.466	0.079	1.241	0.264	7	BBB
45705	0.349	0.585	0.08	6.318	0.577	4	AAA
47310	0.255	0.463	0.056	6.67	0.68	10	AAA
59259	0.346	0.642	0.076	3.407	0.505	9	AAA
44544	0.022	0.014	0.035	0.634	0.261	11	BBB
54610	0.169	0.12	0.054	0.366	0.133	9	BB
38528	0.144	0.288	0.056	1.47	0.267	3	A
57321	-0.009	-0.166	0.031	0.244	0.092	12	B
44115	0.238	0.392	0.063	2.414	0.399	11	AA
47409	0.159	0.487	0.058	4.903	0.942	12	AAA
52835	0.293	0.326	0.069	1.03	0.304	1	BBB
81516	0.144	0.204	0.053	0.884	0.235	6	BBB
77927	0.525	0.718	0.117	2.749	0.516	12	AAA
78571	0.194	0.323	0.059	1.17	0.237	4	BBB
80847	0.527	0.88	0.103	11.901	0.726	7	AAA
73934	0.101	0.211	0.053	0.854	0.168	8	BBB
41302	0.432	0.299	0.071	0.835	0.112	8	BBB
42175	0.1	0.138	0.047	0.657	0.195	6	BBB
46970	0.242	0.268	0.051	3.616	0.61	5	AA
54876	-0.13	0.06	0.002	1.727	0.349	8	BBB
82449	0.314	0.629	0.074	5.863	0.467	4	AAA
58817	0.285	0.378	0.078	1.553	0.196	2	BBB
47593	-0.132	0.232	0.014	7.165	1.009	6	AAA
66965	0.317	0.477	0.069	2.07	0.326	9	A
43558	0.076	0.212	0.041	1.408	0.262	3	A
44852	0.137	0.082	0.056	0.603	0.205	2	BBB
64183	0.213	0.305	0.058	1.407	0.286	6	BBB
62474	0.074	0.138	0.045	0.714	0.249	7	BB
35963	0.158	0.188	0.054	1.16	0.266	1	BBB
58100	0.656	0.781	0.121	0.729	0.181	10	BBB
36818	0.179	0.208	0.059	0.808	0.191	6	BBB
84234	0.102	0.228	0.045	1.606	0.279	6	A
78497	0.157	0.131	0.05	1.002	0.384	5	BBB
70180	-0.007	-0.34	0.04	0.157	0.103	11	B
59814	0.276	0.435	0.067	2.973	0.395	2	AA
36251	0.145	0.385	0.051	3.625	0.353	12	AAA
69193	0.096	0.217	0.047	1.049	0.38	2	BBB
78589	0.135	-0.024	0.058	0.15	0.07	2	B
51683	0.297	0.493	0.072	4.664	0.638	4	AAA
62156	0.296	0.326	0.073	1.916	0.368	12	A
84210	0.167	0.359	0.043	3.564	0.598	4	AA
49171	0.106	0.279	0.048	2.01	0.457	12	A
62840	0.218	0.329	0.057	1.941	0.234	5	A
68210	0.042	0.13	0.039	0.879	0.299	5	BBB
66400	0.045	0.071	0.036	0.549	0.196	3	BB
49947	0.384	0.476	0.078	3.343	0.408	1	AAA
69025	0.194	0.347	0.063	1.171	0.289	1	BBB
69820	-0.003	0.04	0.036	0.46	0.174	2	BB
66893	0.353	0.41	0.08	1.157	0.331	7	BBB
33399	0.008	-0.406	0.034	0.121	0.086	3	B
71934	0.203	0.29	0.058	2.111	0.342	7	A
53618	0.262	0.405	0.063	2.225	0.331	8	A
48884	0.223	0.392	0.063	2.217	0.447	10	A
68647	0.087	0.182	0.044	1.362	0.299	9	BBB
69717	0.051	0.16	0.043	0.468	0.196	8	BB
36434	-0.057	0.053	0.026	0.557	0.206	6	BB
35847	-0.001	0.157	0.031	1.832	0.311	12	A
33727	0.247	0.065	0.067	0.566	0.114	1	BB
59655	0.228	0.411	0.065	1.777	0.348	1	A
50900	0.187	0.304	0.059	1.835	0.25	11	A
53869	0.023	0.26	0.041	2.018	0.37	11	A
84637	0.187	0.263	0.055	1.208	0.265	12	BBB
85047	0.287	0.253	0.07	0.934	0.228	4	BB
55372	0.203	0.39	0.062	3.082	0.572	9	AA
78605	-0.086	-0.466	0.008	0.342	0.153	6	B
67598	0.438	0.615	0.093	2.046	0.305	12	AA
63296	0.093	0.308	0.049	1.661	0.319	4	A
42960	0.029	0.399	0.036	1.344	0.423	10	BBB
83383	-0.018	0.13	0.033	1.394	0.408	1	BBB
57419	0.131	0.297	0.053	1.76	0.305	10	BBB
38965	0.338	0.426	0.072	2.886	0.461	12	AA
45742	0.1	0.082	0.048	0.362	0.116	5	BB
84728	-0.104	-0.626	0.015	0.142	0.081	3	CCC
43492	0.306	0.389	0.063	0.721	0.116	1	BBB
55850	-0.35	-1.346	-0.038	0.161	0.136	4	CCC
41676	0.025	0.064	0.042	0.621	0.18	12	BB
53203	-0.011	-0.092	0.029	0.621	0.254	7	BB
67720	0.223	0.269	0.061	1.854	0.243	12	A
82364	0.189	0.437	0.059	5.043	0.452	1	AAA
34124	0.23	0.47	0.067	3.901	0.488	11	AAA
38517	0.054	0.182	0.044	0.795	0.21	8	BB
32576	0.169	0.316	0.054	1.95	0.294	9	A
79478	0.16	0.21	0.046	0.929	0.121	12	BB
50479	0.402	0.584	0.075	4.335	0.452	4	AAA
49979	0.055	0.133	0.043	0.603	0.311	5	BB
81533	0.191	0.228	0.058	1.097	0.333	12	BBB
55466	0.267	0.682	0.074	10.11	0.848	5	AAA
51455	0.334	0.519	0.087	3.511	0.513	2	AAA
50799	0.098	0.417	0.054	2.955	0.399	4	AA
32848	0.031	0.136	0.044	0.988	0.206	8	BB
65575	0.074	0.205	0.043	1.208	0.267	2	BBB
70423	-0.037	-0.029	0.025	0.821	0.155	2	BB
69052	0.474	0.421	0.106	1.444	0.243	4	A
36466	-0.009	0.019	0.031	0.39	0.26	12	BB
55380	0.062	0.223	0.042	3.767	0.531	9	AAA
49505	-0.069	-0.039	0.015	0.951	0.229	11	BBB
38320	0.137	0.116	0.048	0.572	0.175	1	BBB
80127	0.263	0.296	0.071	1.236	0.19	1	BBB
84720	0.245	0.273	0.063	0.775	0.135	2	BBB
38342	0.31	0.584	0.07	6.807	0.783	10	AAA
83551	-0.024	0.111	0.024	1.236	0.302	10	BBB
71154	0.776	0.434	0.197	2.351	0.507	11	AA
64661	0.083	0.182	0.044	0.921	0.156	11	BBB
79451	0.087	0.214	0.047	0.961	0.249	3	BBB
58380	0	-0.005	0.033	0.3	0.094	5	BB
42709	0.619	0.804	0.127	2.761	0.42	1	AA
52532	0.047	0.103	0.036	0.661	0.158	9	BB
70961	-0.032	0.082	0.032	1.04	0.246	12	BB
65547	-0.052	-0.083	0.013	0.576	0.159	5	BB
82757	0.202	0.149	0.072	0.41	0.124	4	BBB
60460	0.005	0.155	0.036	1.129	0.3	2	BBB
76670	0.084	0.298	0.05	1.59	0.339	2	BBB
56062	0.024	0.057	0.044	0.351	0.146	6	BB
54468	-0.083	-0.034	0.02	0.472	0.137	12	BB
39310	0.209	0.302	0.063	1.701	0.247	5	A
68041	0.325	0.417	0.081	3.759	0.632	9	AAA
79342	0.034	0.26	0.026	3.262	0.477	8	AA
73625	0.247	0.39	0.066	2.618	0.5	2	A
38564	0.003	0.004	0.022	0.392	0.152	11	BB
82972	-0.112	-1.74	0	0.061	0.089	4	CCC
52293	-0.029	0.031	0.026	0.848	0.221	8	BB
72069	0.574	0.889	0.132	5.381	0.832	10	AAA
35273	-0.008	0.179	0.031	2.582	0.34	12	AA
75472	0.174	0.251	0.058	1.66	0.257	8	BBB
32688	0.379	0.392	0.08	1.108	0.261	4	BBB
68876	0.046	0.096	0.037	0.622	0.186	8	BB
61041	0.244	0.401	0.056	4.307	0.659	7	AAA
79106	0.119	0.387	0.049	3.064	0.434	11	AA
83183	0.009	0.088	0.033	0.863	0.301	12	BBB
44284	-0.008	0.155	0.029	2.996	0.547	7	AA
47852	0.169	0.223	0.059	1.298	0.354	5	A
57069	-0.032	-0.194	0.027	0.461	0.15	12	B
63585	0.122	0.227	0.046	2.208	0.231	8	A
56411	0.116	0.211	0.065	2.517	0.491	3	AA
33917	0.459	0.64	0.097	2.95	0.419	10	AA
41697	-0.125	-0.562	-0.008	0.235	0.113	7	B
74498	0.165	0.357	0.069	0.78	0.272	11	A
59558	-0.006	-0.086	0.035	0.302	0.111	12	BB
53155	0.245	0.309	0.063	2.06	0.45	2	BBB
77670	0.067	0.242	0.046	1.681	0.271	9	A
78978	0.684	1.04	0.14	21.118	0.83	12	AAA
71475	0.068	0.183	0.047	0.749	0.291	2	BBB
42100	0.031	-0.083	0.039	0.068	0.088	3	B
60306	0.387	0.26	0.077	0.887	0.204	11	BBB
44092	0.067	0.177	0.044	1.955	0.317	3	AA
48659	0.291	0.546	0.081	2.073	0.288	3	AA
76315	0.097	0.2	0.054	0.421	0.189	10	BB
75655	0.163	0.216	0.056	0.6	0.151	6	BBB
47652	0.332	0.372	0.076	0.729	0.14	12	BBB
73785	0.011	0.024	0.037	0.571	0.241	7	BBB
74830	0.428	0.473	0.089	2.197	0.421	6	A
71287	0.243	0.22	0.062	0.798	0.213	1	BB
45584	0.362	0.521	0.076	3.736	0.382	7	AAA
81042	-0.093	-0.761	0.012	0.169	0.118	2	CCC
51642	0.109	0.282	0.042	2.346	0.281	3	A
51049	0.055	0.054	0.042	0.433	0.126	1	B
45279	-0.155	-0.777	-0.017	0.296	0.139	2	CCC
35565	0.138	0.151	0.046	0.713	0.3	8	BBB
74055	0.076	0.002	0.047	0.295	0.105	8	B
39995	0.415	0.482	0.093	1.646	0.163	3	A
38834	0.022	0.012	0.039	0.334	0.145	11	B
70072	0.309	0.348	0.085	1.259	0.213	5	A
35266	-0.04	-0.077	0.019	0.506	0.258	7	BB
37619	0.052	0.29	0.036	3.399	0.513	8	AA
62756	0.18	0.226	0.058	1.661	0.301	4	BBB
81023	-0.006	0.18	0.031	2.661	0.519	11	AA
50650	-0.014	0.126	0.035	0.903	0.177	8	BBB
48170	0.092	0.115	0.052	0.335	0.124	5	B
48869	0.197	0.277	0.06	0.692	0.197	1	BB
75322	0.041	0.062	0.043	0.446	0.136	5	BB
49141	0.124	0.367	0.055	3.88	0.526	11	AAA
35419	-0.001	0.071	0.026	0.811	0.286	5	BB
42968	-0.009	-0.157	0.036	0.247	0.101	10	B
42592	0.261	0.408	0.067	2.597	0.315	8	AA
73353	0.254	0.296	0.071	1.016	0.227	10	BBB
72203	0.153	0.524	0.053	6.655	0.741	2	AAA
56005	-0.007	-0.139	0.034	0.196	0.087	10	B
64773	0.165	0.273	0.057	2.287	0.468	12	A
69019	-0.03	0.133	0.015	2.48	0.401	11	AA
69641	-0.063	-0.129	0.028	0.508	0.177	1	B
53607	0.157	0.181	0.064	0.467	0.131	7	BB
54755	0.193	0.493	0.06	4.654	0.588	2	AAA
52024	-0.087	-0.634	0.007	0.085	0.084	10	CCC
45214	-0.564	-1.94	-0.035	0.145	0.096	8	CCC
33116	0.02	0.075	0.035	0.7	0.198	8	BB
45829	0.47	0.309	0.099	0.591	0.225	12	BB
53362	0.202	0.235	0.058	1.289	0.214	1	BBB
43795	0.065	0.233	0.042	1.307	0.244	7	BBB
82948	0.035	0.156	0.041	1.784	0.286	1	A
82837	0.029	0.136	0.038	0.519	0.25	8	BB
35781	0.199	0.427	0.062	3.031	0.417	10	AAA
69665	0.029	0.062	0.04	0.506	0.146	4	BB
36963	0.214	0.455	0.062	1.419	0.226	5	AA
46332	0.223	0.336	0.074	0.846	0.171	7	BBB
43906	0.633	0.307	0.123	0.079	0.121	3	BB
79458	0.098	0.344	0.046	6.426	0.495	5	AAA
79109	-0.005	0.04	0.034	0.754	0.233	5	BB
71948	0.231	0.309	0.057	2.033	0.256	4	A
33410	0.038	0.164	0.033	1.879	0.246	10	BBB
59329	0.095	0.234	0.054	1.253	0.284	4	BBB
55834	0.264	0.219	0.064	0.505	0.141	8	BBB
51748	0.08	0.263	0.046	2.092	0.34	2	A
83187	0.02	-0.112	0.047	0.203	0.094	9	B
60866	0.133	0.389	0.053	2.288	0.253	3	AA
72491	0.126	0.23	0.057	0.981	0.197	5	BBB
79439	-0.079	0.05	0.012	0.994	0.243	9	BBB
44556	0.241	0.199	0.073	0.421	0.13	9	BB
80106	0.213	0.481	0.061	2.847	0.449	4	AA
55605	0.039	0.126	0.046	0.66	0.174	12	BB
37296	0.708	1.26	0.155	28.495	1.175	12	AAA
65712	0.145	0.262	0.051	1.579	0.306	11	A
45178	0.28	0.258	0.074	0.64	0.162	6	BBB
60025	0.209	0.55	0.061	10.274	0.817	6	AAA
40726	-0.103	-0.241	-0.001	0.423	0.151	6	B
58332	-0.499	-1.546	-0.039	0.158	0.256	5	CCC
75215	0.158	0.316	0.058	1.11	0.282	10	BBB
81419	0.277	0.337	0.072	1.34	0.261	10	BBB
45557	0.074	0.171	0.046	1.314	0.455	1	BBB
52180	0.395	0.306	0.085	0.635	0.125	4	BBB
40892	0.153	0.309	0.053	5.363	0.646	7	AAA
63917	-0.039	-0.187	0.03	0.193	0.11	8	BB
76664	-0.03	-0.129	0.029	0.516	0.146	2	B
83717	0.086	0.103	0.05	0.497	0.145	3	BB
49115	0.122	0.271	0.05	2.056	0.345	11	A
56142	0.479	0.729	0.088	3.693	0.447	11	AAA
75982	0.114	0.307	0.05	2.114	0.402	7	A
74527	0.369	0.366	0.079	0.486	0.18	3	BBB
84814	0.331	0.46	0.083	2.258	0.275	5	A
80502	-0.013	-0.465	0.029	0.106	0.079	11	CCC
36327	0.021	0.096	0.037	0.9	0.274	7	BB
42186	0.091	0.021	0.046	0.252	0.113	12	B
61311	0.176	0.36	0.06	0.918	0.192	6	BBB
57369	0.021	0.034	0.037	0.483	0.19	2	BB
65245	0.166	0.33	0.055	3.284	0.425	3	AAA
50905	0.43	0.596	0.078	2.8	0.316	8	AA
60683	0.243	0.403	0.059	2.999	0.442	5	AA
78265	0.411	0.541	0.089	3.271	0.401	3	AAA
41089	0.109	0.119	0.056	0.246	0.094	5	BB
79384	-0.009	0.014	0.031	0.26	0.144	4	B
48957	0.155	0.178	0.05	1.042	0.282	7	BBB
67867	0.25	0.508	0.072	5.015	0.791	7	AAA
48281	0.139	0.19	0.059	0.665	0.27	8	BB
77384	0.319	0.492	0.064	3.322	0.482	2	AA
57151	0.164	0.219	0.058	0.685	0.132	10	BBB
41585	0.052	0.203	0.047	1.346	0.309	5	A
68204	0.041	0.136	0.038	0.69	0.219	4	BBB
71968	0.143	0.334	0.053	3.306	0.356	8	AA
80329	0.229	0.27	0.056	1.083	0.246	10	BBB
69073	-0.068	-0.207	0.012	0.296	0.13	6	B
39322	0.296	0.39	0.075	1.671	0.317	12	A
35338	0.326	0.541	0.084	3.164	0.6	8	AAA
34302	0.032	0.102	0.043	0.549	0.15	9	BB
45672	0.398	0.575	0.091	6.054	0.646	2	AAA
64639	-0.01	-0.28	0.032	0.212	0.08	10	B
40929	0.022	0.059	0.036	0.82	0.244	10	BB
83774	0.054	0.123	0.042	0.643	0.191	3	BB
66394	0.031	0.183	0.044	1.249	0.212	11	BBB
57712	0.301	0.43	0.076	1.62	0.34	10	BBB
73077	0.215	0.507	0.061	5.42	0.639	9	AAA
40477	0.222	0.286	0.063	1.019	0.176	7	BBB
33649	0.201	0.317	0.063	1.494	0.344	6	A
66652	0.38	0.496	0.079	2.339	0.423	4	A
46608	0.05	0.25	0.04	2.148	0.739	1	A
65994	0.099	0.195	0.048	1.399	0.243	3	BBB
78659	0.289	0.222	0.067	0.695	0.133	2	BB
68268	0.687	0.83	0.153	2.392	0.312	12	AA
60040	0.074	0.168	0.043	1.179	0.322	12	BBB
67264	0.064	0.602	0.039	22.965	1.337	10	AAA
60089	0.062	0.067	0.039	0.53	0.133	11	BB
35982	0.265	0.351	0.07	1.132	0.258	2	BB
44601	0.025	0.122	0.039	0.838	0.216	5	BBB
35830	0.26	0.201	0.07	0.665	0.218	12	BB
57005	0.242	0.451	0.062	1.99	0.277	10	A
66774	0.019	0.026	0.041	0.232	0.108	3	BB
77883	0.14	0.42	0.056	5.203	0.761	11	AAA
73348	0.11	0.07	0.055	0.598	0.141	3	BB
69289	-0.077	-0.081	0.003	0.788	0.236	2	BB
51805	0.05	0.22	0.033	3.644	0.659	8	AA
79615	0.121	0.205	0.049	1.526	0.391	11	A
41586	0.259	0.381	0.071	1.489	0.249	6	A
62199	0.145	0.553	0.054	8.873	0.652	8	AAA
75958	0.503	0.763	0.102	4.153	0.619	11	AAA
50394	0.262	0.511	0.077	2.774	0.384	10	A
84521	0.004	-0.241	0.032	0.206	0.104	1	B
38310	0.183	0.1	0.064	0.391	0.108	5	BB
40678	0.073	0.107	0.048	1.146	0.276	3	BBB
37231	0.275	0.442	0.086	1.444	0.202	10	A
60808	0.329	0.442	0.072	2.24	0.318	6	AA
45507	0.536	0.417	0.11	3.309	0.354	2	AA
48044	0.031	0.044	0.039	0.66	0.142	10	BB
53725	0.139	0.213	0.052	1.451	0.296	7	A
56576	0.157	0.225	0.055	1.055	0.283	9	BBB
67365	0.705	0.922	0.149	18.103	1.328	5	AAA
74528	-0.028	-0.356	0.025	0.218	0.095	9	CCC
42083	0.325	0.528	0.077	3.042	0.36	10	AAA
37357	0.28	0.357	0.066	1.809	0.297	7	A
39280	0.565	0.608	0.113	0.958	0.076	9	BBB
59012	-0.001	0.012	0.03	0.52	0.151	2	BB
80345	0.187	0.119	0.053	0.437	0.172	5	BB
71761	0.03	0.118	0.04	0.944	0.308	3	BBB
65702	0.068	0.107	0.043	0.743	0.164	9	BB
78982	0.207	0.287	0.059	1.39	0.366	11	A
48976	0.215	0.337	0.053	1.639	0.281	11	A
50355	0.12	0.248	0.052	1.65	0.398	3	BBB
33127	0.192	0.227	0.054	1.122	0.227	12	BBB
66517	0.012	0.111	0.023	1.492	0.295	9	BBB
35796	0.472	0.419	0.099	0.792	0.128	4	BBB
32693	-0.328	-1.846	-0.091	0.065	0.072	6	CCC
48138	0.232	0.405	0.07	1.669	0.325	9	A
69796	0.267	0.355	0.067	1.612	0.288	1	BBB
45472	0.07	0.203	0.041	2.469	0.395	2	AA
44263	0.16	0.327	0.059	3.036	0.758	3	AA
59751	0.109	0.18	0.052	0.801	0.226	3	BBB
37379	0.299	0.378	0.081	1.47	0.381	5	A
41529	0.123	0.312	0.054	2.085	0.427	4	A
63236	0.02	0.114	0.039	0.757	0.223	12	BB
81731	-0.063	-0.089	0.025	0.492	0.255	3	BB
49208	0.235	0.393	0.069	2.09	0.526	11	A
61144	0.011	-0.009	0.038	0.524	0.153	1	BB
45288	0.273	0.302	0.072	1.15	0.277	1	BBB
34875	-0.101	-0.65	0.012	0.136	0.106	8	CCC
42284	0.077	0.162	0.055	0.464	0.165	9	B
35075	-0.727	-1.841	-0.132	0.059	0.093	12	CCC
76817	-0.037	0.039	0.034	1.429	0.121	6	A
38284	0.017	0.224	0.035	3.889	0.343	10	AA
68884	0.021	0.04	0.034	0.589	0.138	4	BB
33682	0.008	0.041	0.04	0.161	0.082	4	B
81408	0.154	0.067	0.052	0.333	0.123	12	BB
34624	0.203	0.351	0.062	1.398	0.254	5	BBB
62968	0.084	0.36	0.048	3.204	0.456	6	AAA
70487	0.28	0.212	0.067	0.738	0.138	12	BB
37273	0.105	0.208	0.051	1.113	0.312	2	BBB
38109	-0.053	0.083	0.02	0.995	0.236	11	BBB
57774	0.027	0.111	0.038	0.894	0.267	6	BB
76750	0.441	0.517	0.083	1.644	0.236	8	A
52454	-0.077	-0.072	0.016	0.465	0.249	2	BB
71200	0.426	0.727	0.088	6.301	0.62	3	AAA
54035	0.532	0.561	0.113	1.044	0.133	5	A
52626	-0.098	-0.105	0.005	0.671	0.202	4	BB
45503	0.034	0.042	0.039	0.404	0.109	4	BB
55904	0.254	0.231	0.061	1.01	0.237	7	BBB
36028	0.035	0.106	0.036	0.719	0.157	11	BB
64132	-0.04	-0.17	0.015	0.481	0.209	4	B
70269	0.073	0.284	0.04	2.622	0.431	11	AA
73792	0.059	0.253	0.047	2.359	0.397	1	A
81394	0.132	0.199	0.059	0.561	0.13	2	BB
78160	0.052	0.153	0.045	1.606	0.322	8	BBB
35055	0.035	-0.2	0.038	0.088	0.079	3	BB
45385	0.006	0.103	0.036	2.181	0.381	5	A
67742	0.095	0.216	0.045	1.339	0.259	6	A
58292	0.263	0.338	0.061	0.593	0.14	11	BBB
52549	0.103	0.299	0.052	1.794	0.366	6	A
55219	0.094	0.111	0.059	0.438	0.129	3	BBB
56125	0.675	0.873	0.154	3.35	0.204	5	AAA
75313	0.361	0.728	0.084	15.586	1.023	9	AAA
52026	0.189	0.34	0.054	1.615	0.279	4	A
78949	0.166	0.253	0.055	1.946	0.291	11	A
76774	0.121	0.184	0.044	1.734	0.454	7	A
73399	0.408	0.711	0.088	6.235	0.565	10	AAA
74461	0.036	0.15	0.046	1.64	0.309	12	BBB
80157	0.105	0.225	0.051	1.589	0.311	11	BBB
76154	0.255	0.365	0.063	2.179	0.485	9	A
65243	0.116	0.311	0.054	1.878	0.328	7	A
44222	0.158	0.217	0.056	0.743	0.239	5	BB
44622	0.103	0.183	0.038	0.581	0.242	8	BB
42154	-0.015	0.17	0.027	2.154	0.547	10	BBB
66478	0.109	0.148	0.05	0.595	0.18	7	BB
38995	0.232	0.511	0.066	2.873	0.423	2	AA
59716	0.225	0.218	0.063	1.422	0.203	12	A
82779	0.378	0.641	0.085	4.044	0.441	11	AAA
73478	0.123	0.47	0.058	4.331	0.702	4	AAA
54843	-0.047	-0.347	0.027	0.213	0.088	12	B
65624	0.188	0.145	0.058	0.265	0.096	5	BB
54948	-0.106	-0.481	-0.009	0.706	0.143	3	BB
70718	-0.092	-0.124	0.016	0.523	0.18	12	B
72275	0.128	0.108	0.056	0.366	0.1	2	B
75330	0.084	0.215	0.05	1.577	0.285	10	BBB
63525	-0.003	-0.365	0.035	0.112	0.084	6	CCC
36410	0.071	0.125	0.047	0.533	0.164	2	BB
54550	0.142	0.139	0.063	0.579	0.168	8	BB
81088	0.341	0.678	0.091	5.625	0.683	4	AAA
43732	0.106	0.203	0.05	0.817	0.274	2	BB
33373	-0.036	0.134	0.029	1.03	0.277	7	BBB
34549	0.025	-0.057	0.026	0.862	0.388	4	BB
53788	-0.107	0.014	0.018	1.043	0.21	2	BB
83603	0.055	0.175	0.035	1.322	0.277	1	BBB
75457	-0.019	0.005	0.031	0.434	0.165	9	B
36099	0.146	0.236	0.047	1.935	0.273	10	A
63391	0.325	0.34	0.074	0.918	0.325	5	BBB
43315	-0.05	-0.048	0.02	0.502	0.17	12	BB
36183	0.188	0.386	0.059	2.33	0.37	8	AA
53088	0.355	0.512	0.082	2.915	0.322	12	AA
34256	0.476	0.713	0.087	4.066	0.364	12	AAA
48544	0.173	0.213	0.065	0.576	0.148	5	BB
83779	0.064	0.028	0.049	0.513	0.127	3	BB
33261	0.046	0.136	0.039	1.284	0.364	9	BBB
41343	-0.031	0.212	0.032	2.554	0.527	11	AA
71316	-0.184	-1.523	-0.005	0.092	0.096	1	CCC
60843	0.082	0.244	0.053	1.985	0.307	3	AA
44593	0.362	0.65	0.08	7.878	0.493	8	AAA
62839	0.189	0.184	0.064	0.947	0.223	1	BBB
41088	0.335	0.686	0.074	10.339	0.837	5	AAA
67258	0.044	0.186	0.043	1.025	0.229	12	BBB
44249	0.517	0.349	0.109	1.19	0.149	8	BBB
83229	0.188	0.369	0.067	0.722	0.206	10	BBB
43720	-0.115	-0.45	0.006	0.174	0.105	1	B
79759	0.339	0.333	0.081	1.216	0.301	12	BBB
41147	0.115	0.282	0.052	1.945	0.31	1	A
79114	0.23	0.284	0.064	0.484	0.146	11	BB
73806	0.136	0.229	0.056	1.036	0.194	4	BB
66493	0.067	0.078	0.04	0.685	0.244	8	BB
74389	0.025	-0.059	0.024	0.227	0.103	3	BB
77701	-0.076	-0.057	0.024	0.569	0.125	12	BB
51721	0.151	0.363	0.053	2.453	0.438	6	AA
37238	0.308	0.72	0.079	7.304	0.647	7	AAA
84797	0.055	0.061	0.052	0.278	0.135	5	B
53191	0.214	0.484	0.054	4.385	0.656	6	AAA
59992	0.117	0.237	0.055	0.897	0.174	10	BB
67703	0.135	0.213	0.057	2.64	0.314	3	AA
82009	-0.078	-0.356	0.02	0.194	0.096	4	CCC
58851	0.08	0.282	0.048	2.09	0.293	10	A
68118	0.005	-0.031	0.035	0.256	0.143	6	B
83484	-0.037	-0.422	0.031	0.078	0.069	8	B
84591	0.278	0.414	0.079	2.421	0.451	12	AA
77264	0.121	0.349	0.05	3.165	0.702	5	AA
49573	0.024	0.119	0.039	0.616	0.116	8	BBB
49790	0.522	0.537	0.105	2.587	0.291	10	AA
72369	0.197	0.248	0.056	0.638	0.131	9	BB
61635	0.509	0.937	0.104	21.513	1.131	1	AAA
59150	0.418	0.415	0.086	0.978	0.186	3	BBB
54484	0.076	0.267	0.043	1.915	0.336	2	A
50781	-0.272	-2.315	-0.027	0.026	0.038	3	CCC
41788	0.156	0.121	0.061	0.432	0.116	3	BB
74564	-0.005	0.126	0.031	1.29	0.402	12	BBB
57801	0.115	0.363	0.06	2.851	0.386	4	AA
43401	0.013	-0.107	0.032	0.324	0.119	2	BB
81073	0.088	0.039	0.008	1.694	0.682	5	BBB
78492	-0.072	0.039	0.021	0.956	0.259	6	BBB
44913	0.142	0.061	0.046	0.227	0.096	3	BB
68272	-0.072	-0.208	0.02	0.412	0.148	2	B
50100	0.058	0.36	0.039	6.138	0.66	5	AAA
47690	0.031	0.363	0.041	4.045	0.731	3	AAA
72858	0.048	0.195	0.045	1.939	0.295	7	A
75885	0.149	0.29	0.054	2.003	0.211	1	A
